Time,Event,Value,ID
2017-02-08T03:40:14.645660,humidity,36.799999,CHAOS_PH001
2017-02-08T03:40:14.648596,_temperature,22.299999,CHAOS_PH001
2017-02-08T03:40:25.501029,humidity,34,CHAOS_PH026
2017-02-08T03:40:25.503897,_temperature,22.9,CHAOS_PH026
2017-02-08T03:40:25.512228,humidity,34.299999,CHAOS_PH028
2017-02-08T03:40:25.515148,_temperature,23.200001,CHAOS_PH028
2017-02-08T03:40:30.024667,humidity,36.900002,CHAOS_PH001
2017-02-08T03:40:30.036328,_temperature,22.299999,CHAOS_PH001
2017-02-08T03:40:37.935991,humidity,34.099998,CHAOS_PH026
2017-02-08T03:40:37.943148,_temperature,22.9,CHAOS_PH026
2017-02-08T03:40:38.307452,humidity,34.299999,CHAOS_PH028
2017-02-08T03:40:38.310297,_temperature,23.200001,CHAOS_PH028
2017-02-08T03:40:45.673263,humidity,36.900002,CHAOS_PH001
2017-02-08T03:40:45.682762,_temperature,22.299999,CHAOS_PH001
2017-02-08T03:40:53.464154,humidity,34,CHAOS_PH026
2017-02-08T03:40:53.472600,_temperature,22.9,CHAOS_PH026
2017-02-08T03:40:53.864991,humidity,34.400002,CHAOS_PH028
2017-02-08T03:40:53.867771,_temperature,23.200001,CHAOS_PH028
2017-02-08T03:41:01.067068,humidity,36.799999,CHAOS_PH001
2017-02-08T03:41:01.076444,_temperature,22.299999,CHAOS_PH001
2017-02-08T03:41:08.991767,humidity,34,CHAOS_PH026
2017-02-08T03:41:09.000884,_temperature,23,CHAOS_PH026
2017-02-08T03:41:09.333402,humidity,34.400002,CHAOS_PH028
2017-02-08T03:41:09.342423,_temperature,23.200001,CHAOS_PH028
